  phase   passband   delta    dm15       mag  
   55.0       desr   -0.34   +0.86   -17.538  
   56.0       desr   -0.34   +0.86   -17.509  
   57.0       desr   -0.34   +0.86   -17.482  
   58.0       desr   -0.34   +0.86   -17.455  
   59.0       desr   -0.34   +0.86   -17.426  
   60.0       desr   -0.34   +0.86   -17.396  
   61.0       desr   -0.34   +0.86   -17.365  
   62.0       desr   -0.34   +0.86   -17.334  
   63.0       desr   -0.34   +0.86   -17.303  
   64.0       desr   -0.34   +0.86   -17.273  
   65.0       desr   -0.34   +0.86   -17.243  
   66.0       desr   -0.34   +0.86   -17.215  
   67.0       desr   -0.34   +0.86   -17.187  
   68.0       desr   -0.34   +0.86   -17.159  
   69.0       desr   -0.34   +0.86   -17.132  
   70.0       desr   -0.34   +0.86   -17.103  
   71.0       desr   -0.34   +0.86   -17.074  
   72.0       desr   -0.34   +0.86   -17.043  
   73.0       desr   -0.34   +0.86   -17.011  
   74.0       desr   -0.34   +0.86   -16.980  
   75.0       desr   -0.34   +0.86   -16.949  
   76.0       desr   -0.34   +0.86   -16.919  
   77.0       desr   -0.34   +0.86   -16.889  
   78.0       desr   -0.34   +0.86   -16.859  
   79.0       desr   -0.34   +0.86   -16.828  
   80.0       desr   -0.34   +0.86   -16.795  
  -15.0       desr   -0.32   +0.88   -16.710  
  -14.0       desr   -0.32   +0.88   -17.046  
  -13.0       desr   -0.32   +0.88   -17.374  
  -12.0       desr   -0.32   +0.88   -17.691  
  -11.0       desr   -0.32   +0.88   -17.990  
  -10.0       desr   -0.32   +0.88   -18.292  
   -9.0       desr   -0.32   +0.88   -18.613  
   -8.0       desr   -0.32   +0.88   -18.906  
   -7.0       desr   -0.32   +0.88   -19.117  
   -6.0       desr   -0.32   +0.88   -19.246  
   -5.0       desr   -0.32   +0.88   -19.326  
   -4.0       desr   -0.32   +0.88   -19.386  
   -3.0       desr   -0.32   +0.88   -19.431  
   -2.0       desr   -0.32   +0.88   -19.464  
   -1.0       desr   -0.32   +0.88   -19.484  
    0.0       desr   -0.32   +0.88   -19.496  
    1.0       desr   -0.32   +0.88   -19.499  
    2.0       desr   -0.32   +0.88   -19.491  
    3.0       desr   -0.32   +0.88   -19.474  
    4.0       desr   -0.32   +0.88   -19.457  
    5.0       desr   -0.32   +0.88   -19.440  
    6.0       desr   -0.32   +0.88   -19.419  
    7.0       desr   -0.32   +0.88   -19.390  
    8.0       desr   -0.32   +0.88   -19.355  
    9.0       desr   -0.32   +0.88   -19.313  
   10.0       desr   -0.32   +0.88   -19.258  
