  phase   passband   delta    dm15       mag  
   73.0       desr   -0.32   +0.88   -16.651  
   74.0       desr   -0.32   +0.88   -16.614  
   75.0       desr   -0.32   +0.88   -16.573  
   76.0       desr   -0.32   +0.88   -16.532  
   77.0       desr   -0.32   +0.88   -16.490  
   78.0       desr   -0.32   +0.88   -16.448  
   79.0       desr   -0.32   +0.88   -16.405  
   80.0       desr   -0.32   +0.88   -16.361  
  -15.0       desr   -0.30   +0.89   -16.456  
  -14.0       desr   -0.30   +0.89   -16.772  
  -13.0       desr   -0.30   +0.89   -17.081  
  -12.0       desr   -0.30   +0.89   -17.385  
  -11.0       desr   -0.30   +0.89   -17.669  
  -10.0       desr   -0.30   +0.89   -17.950  
   -9.0       desr   -0.30   +0.89   -18.241  
   -8.0       desr   -0.30   +0.89   -18.507  
   -7.0       desr   -0.30   +0.89   -18.696  
   -6.0       desr   -0.30   +0.89   -18.824  
   -5.0       desr   -0.30   +0.89   -18.905  
   -4.0       desr   -0.30   +0.89   -18.949  
   -3.0       desr   -0.30   +0.89   -18.965  
   -2.0       desr   -0.30   +0.89   -18.951  
   -1.0       desr   -0.30   +0.89   -18.929  
    0.0       desr   -0.30   +0.89   -18.899  
    1.0       desr   -0.30   +0.89   -18.878  
    2.0       desr   -0.30   +0.89   -18.843  
    3.0       desr   -0.30   +0.89   -18.827  
    4.0       desr   -0.30   +0.89   -18.810  
    5.0       desr   -0.30   +0.89   -18.792  
    6.0       desr   -0.30   +0.89   -18.763  
    7.0       desr   -0.30   +0.89   -18.720  
    8.0       desr   -0.30   +0.89   -18.673  
    9.0       desr   -0.30   +0.89   -18.628  
   10.0       desr   -0.30   +0.89   -18.568  
   11.0       desr   -0.30   +0.89   -18.484  
   12.0       desr   -0.30   +0.89   -18.405  
   13.0       desr   -0.30   +0.89   -18.352  
   14.0       desr   -0.30   +0.89   -18.310  
   15.0       desr   -0.30   +0.89   -18.296  
   16.0       desr   -0.30   +0.89   -18.308  
   17.0       desr   -0.30   +0.89   -18.319  
   18.0       desr   -0.30   +0.89   -18.329  
   19.0       desr   -0.30   +0.89   -18.347  
   20.0       desr   -0.30   +0.89   -18.365  
   21.0       desr   -0.30   +0.89   -18.379  
   22.0       desr   -0.30   +0.89   -18.392  
   23.0       desr   -0.30   +0.89   -18.409  
   24.0       desr   -0.30   +0.89   -18.430  
   25.0       desr   -0.30   +0.89   -18.451  
   26.0       desr   -0.30   +0.89   -18.468  
   27.0       desr   -0.30   +0.89   -18.477  
   28.0       desr   -0.30   +0.89   -18.477  
   29.0       desr   -0.30   +0.89   -18.464  
   30.0       desr   -0.30   +0.89   -18.437  
   31.0       desr   -0.30   +0.89   -18.395  
   32.0       desr   -0.30   +0.89   -18.342  
   33.0       desr   -0.30   +0.89   -18.284  
   34.0       desr   -0.30   +0.89   -18.226  
   35.0       desr   -0.30   +0.89   -18.173  
   36.0       desr   -0.30   +0.89   -18.116  
   37.0       desr   -0.30   +0.89   -18.056  
   38.0       desr   -0.30   +0.89   -17.997  
   39.0       desr   -0.30   +0.89   -17.937  
   40.0       desr   -0.30   +0.89   -17.881  
   41.0       desr   -0.30   +0.89   -17.829  
   42.0       desr   -0.30   +0.89   -17.781  
   43.0       desr   -0.30   +0.89   -17.736  
   44.0       desr   -0.30   +0.89   -17.693  
   45.0       desr   -0.30   +0.89   -17.651  
   46.0       desr   -0.30   +0.89   -17.612  
   47.0       desr   -0.30   +0.89   -17.574  
   48.0       desr   -0.30   +0.89   -17.538  
   49.0       desr   -0.30   +0.89   -17.503  
   50.0       desr   -0.30   +0.89   -17.471  
   51.0       desr   -0.30   +0.89   -17.438  
   52.0       desr   -0.30   +0.89   -17.400  
   53.0       desr   -0.30   +0.89   -17.361  
   54.0       desr   -0.30   +0.89   -17.323  
   55.0       desr   -0.30   +0.89   -17.286  
   56.0       desr   -0.30   +0.89   -17.245  
   57.0       desr   -0.30   +0.89   -17.200  
   58.0       desr   -0.30   +0.89   -17.151  
   59.0       desr   -0.30   +0.89   -17.111  
   60.0       desr   -0.30   +0.89   -17.072  
   61.0       desr   -0.30   +0.89   -17.034  
   62.0       desr   -0.30   +0.89   -17.000  
   63.0       desr   -0.30   +0.89   -16.967  
   64.0       desr   -0.30   +0.89   -16.936  
   65.0       desr   -0.30   +0.89   -16.905  
   66.0       desr   -0.30   +0.89   -16.874  
   67.0       desr   -0.30   +0.89   -16.839  
   68.0       desr   -0.30   +0.89   -16.802  
   69.0       desr   -0.30   +0.89   -16.765  
   70.0       desr   -0.30   +0.89   -16.727  
   71.0       desr   -0.30   +0.89   -16.689  
   72.0       desr   -0.30   +0.89   -16.651  
   73.0       desr   -0.30   +0.89   -16.614  
   74.0       desr   -0.30   +0.89   -16.578  
   75.0       desr   -0.30   +0.89   -16.537  
   76.0       desr   -0.30   +0.89   -16.496  
   77.0       desr   -0.30   +0.89   -16.454  
   78.0       desr   -0.30   +0.89   -16.412  
   79.0       desr   -0.30   +0.89   -16.369  
