  phase   passband   delta    dm15       mag  
   -7.0       desr   -0.30   +0.89   -18.455  
   -6.0       desr   -0.30   +0.89   -18.679  
   -5.0       desr   -0.30   +0.89   -18.860  
   -4.0       desr   -0.30   +0.89   -18.962  
   -3.0       desr   -0.30   +0.89   -18.977  
   -2.0       desr   -0.30   +0.89   -18.947  
   -1.0       desr   -0.30   +0.89   -18.885  
    0.0       desr   -0.30   +0.89   -18.850  
    1.0       desr   -0.30   +0.89   -18.868  
    2.0       desr   -0.30   +0.89   -18.832  
    3.0       desr   -0.30   +0.89   -18.760  
    4.0       desr   -0.30   +0.89   -18.725  
    5.0       desr   -0.30   +0.89   -18.720  
    6.0       desr   -0.30   +0.89   -18.729  
    7.0       desr   -0.30   +0.89   -18.731  
    8.0       desr   -0.30   +0.89   -18.694  
    9.0       desr   -0.30   +0.89   -18.610  
   10.0       desr   -0.30   +0.89   -18.542  
   11.0       desr   -0.30   +0.89   -18.489  
   12.0       desr   -0.30   +0.89   -18.446  
   13.0       desr   -0.30   +0.89   -18.454  
   14.0       desr   -0.30   +0.89   -18.502  
   15.0       desr   -0.30   +0.89   -18.535  
   16.0       desr   -0.30   +0.89   -18.552  
   17.0       desr   -0.30   +0.89   -18.603  
   18.0       desr   -0.30   +0.89   -18.668  
   19.0       desr   -0.30   +0.89   -18.716  
   20.0       desr   -0.30   +0.89   -18.750  
   21.0       desr   -0.30   +0.89   -18.786  
   22.0       desr   -0.30   +0.89   -18.828  
   23.0       desr   -0.30   +0.89   -18.866  
   24.0       desr   -0.30   +0.89   -18.909  
   25.0       desr   -0.30   +0.89   -18.938  
   26.0       desr   -0.30   +0.89   -18.956  
   27.0       desr   -0.30   +0.89   -18.953  
   28.0       desr   -0.30   +0.89   -18.928  
   29.0       desr   -0.30   +0.89   -18.887  
   30.0       desr   -0.30   +0.89   -18.835  
   31.0       desr   -0.30   +0.89   -18.768  
   32.0       desr   -0.30   +0.89   -18.679  
   33.0       desr   -0.30   +0.89   -18.584  
   34.0       desr   -0.30   +0.89   -18.487  
   35.0       desr   -0.30   +0.89   -18.397  
   36.0       desr   -0.30   +0.89   -18.337  
   37.0       desr   -0.30   +0.89   -18.304  
   38.0       desr   -0.30   +0.89   -18.279  
   39.0       desr   -0.30   +0.89   -18.257  
   40.0       desr   -0.30   +0.89   -18.220  
   41.0       desr   -0.30   +0.89   -18.178  
   42.0       desr   -0.30   +0.89   -18.130  
   43.0       desr   -0.30   +0.89   -18.078  
   44.0       desr   -0.30   +0.89   -18.014  
   45.0       desr   -0.30   +0.89   -17.933  
   46.0       desr   -0.30   +0.89   -17.828  
   47.0       desr   -0.30   +0.89   -17.710  
   48.0       desr   -0.30   +0.89   -17.589  
   49.0       desr   -0.30   +0.89   -17.470  
   50.0       desr   -0.30   +0.89   -17.369  
   51.0       desr   -0.30   +0.89   -17.266  
   52.0       desr   -0.30   +0.89   -17.142  
   53.0       desr   -0.30   +0.89   -17.021  
   54.0       desr   -0.30   +0.89   -16.970  
   55.0       desr   -0.30   +0.89   -16.940  
   56.0       desr   -0.30   +0.89   -16.919  
